Code Station,N° article,mean,std,CV,Segment
ST0053,A0001,23809.52380952381,11597.38846809518,0.48709031565999755,Modere
ST0053,A0002,46208.333333333336,29993.58678496038,0.649094754588863,Erratique
ST0054,A0001,69178.57142857143,14981.602474315378,0.21656420716614896,Stable
ST0054,A0002,19400.0,5461.989869391313,0.2815458695562532,Stable
ST0055,A0001,53375.0,23464.14091951608,0.4396091975553364,Modere
ST0055,A0002,22436.363636363636,16073.631082042917,0.7164098132190928,Erratique
ST0056,A0001,28000.0,8705.715001320143,0.3109183929042908,Stable
ST0056,A0002,25500.0,6253.420116855636,0.24523216144531904,Stable
ST0057,A0001,31138.88888888889,25363.813117767128,0.8145381554323073,Erratique
ST0057,A0002,70200.0,37591.73395227282,0.535494785644912,Modere
ST0058,A0001,8785.714285714286,3214.8351178816056,0.36591619227920713,Modere
ST0058,A0002,18428.571428571428,9061.450772911041,0.49170663108819607,Modere
ST0059,A0001,31508.77192982456,18186.65406183645,0.5771933638778829,Erratique
ST0059,A0002,19596.491228070176,11041.900148853147,0.5634631230838222,Modere
ST0060,A0002,32307.69230769231,13130.020407350321,0.40640539356084326,Modere
ST0061,A0001,30111.11111111111,7236.0977820308035,0.24031321047334772,Stable
ST0061,A0002,30250.0,8276.472678623424,0.27360240259912144,Stable
ST0062,A0001,20666.666666666668,10209.347150076212,0.49400066855207475,Modere
ST0062,A0002,10576.923076923076,3557.224501468266,0.3363194074115452,Modere
ST0064,A0001,25000.0,6595.452979136459,0.2638181191654584,Stable
ST0064,A0002,21941.176470588234,6675.239585918379,0.3042334395726875,Stable
ST0065,A0001,15111.111111111111,4013.0506056364015,0.26556952537299716,Stable
ST0065,A0002,8000.0,2065.5911179772893,0.25819888974716115,Stable
ST0066,A0001,91533.33333333333,12291.666179622047,0.13428622920198888,Stable
ST0066,A0002,69500.0,19164.892471607447,0.27575384851233736,Stable
ST0067,A0001,54279.06976744186,15984.107555699176,0.29448013063198997,Stable
ST0067,A0002,29809.52380952381,10071.059951574103,0.3378470590783645,Modere
ST0068,A0001,53978.72340425532,18997.12719895132,0.3519373190188065,Modere
ST0068,A0002,31234.042553191488,13983.239604048731,0.447692276151424,Modere
ST0069,A0001,20588.235294117647,8147.536617970886,0.39573749287287163,Modere
ST0069,A0002,15764.70588235294,7137.308769458432,0.4527397353760946,Modere
ST0070,A0001,39625.0,8348.438690643214,0.2106861499215953,Stable
ST0070,A0002,51500.0,10169.983846032963,0.19747541448607694,Stable
ST0072,A0001,6687.5,1990.6029237394384,0.29766025027879456,Stable
ST0072,A0002,13470.588235294117,8846.734193042817,0.6567444597455367,Erratique
ST0073,A0001,65243.24324324324,20869.176373841943,0.31986724350959067,Modere
ST0073,A0002,29500.0,11955.87124148036,0.4052837708976393,Modere
ST0074,A0001,55264.705882352944,22087.03009450845,0.39965887345039236,Modere
ST0074,A0002,81558.82352941176,29457.921892257415,0.3611862042325107,Modere
ST0075,A0001,14583.333333333334,7125.68328785672,0.48861828259588935,Modere
ST0075,A0002,10944.444444444445,6795.086652455514,0.6208708616456814,Erratique
ST0076,A0001,10882.35294117647,8615.990605707917,0.791739677281268,Erratique
