Station,Produit,N_commandes,Total_litres,Moyenne_mensuelle,Fréquence_jours,ADF_pvalue,Stationnaire,AIC,Modele_AR,Modele_I,Modele_MA,Modele_SAR,Modele_SI,Modele_SMA,Volume,Profil
ST0038,A0002,35,321000,7295.454545454545,38.088235294117645,5.474301795874671e-10,True,900.0859701785967,0,0,0,0,0,1,Très faible,Basse activité
ST0039,A0001,844,6321000,90300.0,2.5219454329774615,0.10873951610036542,False,1577.213289694729,0,1,0,0,0,0,Élevé,Haute activité en croissance
ST0039,A0002,573,4591000,65585.71428571429,3.715034965034965,9.443977952596225e-07,True,1572.7566776613503,1,1,1,0,0,0,Moyen,Standard
ST0040,A0001,95,741000,26464.285714285714,8.787234042553191,0.004429956774146628,True,585.9767834519888,0,1,1,1,0,0,Faible,Standard
ST0040,A0002,95,720000,25714.285714285714,8.787234042553191,0.7209064913139502,False,579.0651811045832,1,1,0,0,0,0,Faible,Standard
ST0041,A0001,37,223000,4645.833333333333,39.22222222222222,0.16179543389150775,False,969.6860176571582,0,0,0,0,0,0,Très faible,Basse activité
ST0041,A0002,132,1514000,31541.666666666668,10.893129770992367,0.022151004874767684,True,1073.9704295752738,0,1,0,0,0,0,Moyen,Standard
ST0042,A0001,455,4379000,60819.444444444445,4.775330396475771,0.23373831938833678,False,1648.8942592241622,0,1,1,0,0,0,Moyen,Standard
ST0042,A0002,542,3655000,50763.88888888889,4.007393715341959,0.5130549996296411,False,1576.4309856374487,0,1,1,2,0,0,Moyen,Standard
ST0043,A0001,103,1065000,18362.068965517243,17.186274509803923,0.0010612279957073233,True,1262.6327513828312,1,0,0,0,0,0,Moyen,Standard
ST0043,A0002,132,1495000,25775.862068965518,13.412213740458014,8.962240287909731e-08,True,1299.4349651032476,1,0,0,0,0,0,Moyen,Standard
ST0044,A0002,75,820000,12058.823529411764,27.716216216216218,3.432975015752982e-07,True,1495.2463247133678,1,0,0,0,0,0,Faible,Standard
ST0045,A0001,34,277000,9233.333333333334,26.939393939393938,0.005950818731637553,True,635.0990418606586,1,0,0,0,0,0,Très faible,Basse activité
ST0045,A0002,55,354000,11800.0,16.59259259259259,0.5549905837895759,False,606.6816678520473,0,1,1,0,0,0,Très faible,Basse activité
ST0046,A0002,70,1335000,23839.285714285714,24.347826086956523,0.12401606162261042,False,1284.3959202929186,2,0,0,0,0,1,Moyen,Standard
ST0047,A0001,89,619000,9671.875,22.068181818181817,0.537993016348808,False,1343.9674081592018,0,1,2,0,0,0,Faible,Standard
ST0047,A0002,174,2247500,35117.1875,11.167630057803468,0.051535060882414836,False,1508.5393631381812,2,0,0,0,0,0,Moyen,Standard
ST0049,A0001,219,1221000,16958.333333333332,9.963302752293577,5.0197585828415e-07,True,1471.848829669799,0,1,1,0,0,0,Moyen,Standard
ST0049,A0002,233,1267000,17597.222222222223,9.383620689655173,0.0010452793050370708,True,1466.2127121734434,0,1,0,0,0,0,Moyen,Standard
ST0050,A0001,43,308000,6039.21568627451,35.92857142857143,0.1325919961546781,False,1046.8572347824174,0,0,0,0,0,0,Très faible,Basse activité
ST0050,A0002,74,747000,14365.384615384615,21.10958904109589,0.0023086506146330526,True,1102.6403602958994,1,0,0,0,0,0,Faible,Standard
ST0051,A0001,214,1974000,63677.41935483871,4.309859154929577,0.5635694550515364,False,689.2827567733549,0,1,0,0,0,0,Moyen,Standard
ST0051,A0002,128,1010000,32580.645161290322,7.251968503937008,1.9783750340079717e-06,True,673.145207950175,0,1,0,0,0,0,Moyen,Standard
ST0052,A0001,50,401000,21105.263157894737,10.877551020408163,0.00437809474093959,True,158.23779713287203,0,0,0,0,1,0,Très faible,Basse activité
ST0052,A0002,36,520000,27368.42105263158,15.628571428571428,0.9834472687017193,False,414.0786573676155,0,0,0,0,0,0,Faible,Standard
ST0053,A0001,164,1204000,19737.70491803279,11.294478527607362,0.23655326493960893,False,1297.6716089357612,1,0,0,0,0,1,Moyen,Standard
ST0053,A0002,305,2793000,45786.88524590164,6.042763157894737,0.051061441693170576,False,1359.8508010627552,2,1,0,0,0,0,Moyen,Standard
ST0054,A0001,265,2423000,60575.0,4.526515151515151,0.0016831874898604782,True,878.1402289234152,2,1,0,0,0,0,Moyen,Standard
ST0054,A0002,76,611000,15275.0,15.933333333333334,0.5031027858660807,False,787.7952841248933,2,1,1,0,0,0,Faible,Standard
ST0055,A0001,621,4069000,56513.88888888889,3.464516129032258,0.33198846568777585,False,1603.0239582271195,0,1,0,0,0,0,Moyen,Standard
ST0055,A0002,398,1516000,21971.014492753624,5.209068010075566,0.4860294288654027,False,1458.9022055511239,0,1,1,0,0,0,Moyen,Standard
